"CODE_NUM,N,5,0","BARCODE,N,12,0","BARCODE2,C,1","BRAND,C,32","DESCRIP,C,69","TYPE,N,2,0","SIZE,C,18","COST,N,9,4","LAST_COST,N,9,4","NEXT_COST,C,7","COST_2,C,6","COST_3,C,1","PRICE,N,10,4","MIN_PRICE,C,5","QTY_ON_HND,C,5","WAREHOUSE1,C,2","WAREHOUSE2,C,1","QTY_ON_RSV,C,1","QTY_ON_ORD,C,5","QTY_CASE,N,3,0","DIST,C,2","DIVI,C,1","SALESMAN,C,1","LAST_ORD,C,10","LAST_RCV,C,10","COST_DATE,C,10","SALES,C,10","P,C,3","P_PRICE,C,2","REORDER,C,2","LAST_EDIT,C,10","LAST_SALE,D","FIRST,N,10,0","SECON,N,10,0","THIRD,N,1,0","FOURT,N,1,0","FIFTH,N,1,0","SIXTH,N,1,0","SEVEN,N,1,0","EIGHT,N,2,0","NINTH,N,2,0","TENTH,N,1,0","ELEVE,N,2,0","TWELV,N,2,0","PRIORY,C,4","MTD,N,2,0","YTD,C,5","TWOFER,C,2","TWOFER_AMT,C,5","TAXABLE,C,1","START_PROM,C,1","END_PROM,C,1","BIN,C,5","DEPOSIT,C,1","DEP_AMT,C,1","THRFER,C,2","THRFER_AMT,C,5","CASE_PRICE,C,7","STD_QTY,N,1,0","PRINT_BAR,C,1","TAXRATE,C,1","TAXABLE2,C,1","TAXRATE2,C,1","SCRIPT_YN,C,1","FLAT_TAX,C,1","SHELF_CAP,C,1","QTY_SHELF,C,3","INTNUM,N,14,3","CLASS,C,7","VENDNUM,N,7,0","PAR_QTY,C,3","PRICE_B,C,5","PRICE_C,C,1","PRICE_D,C,1","PRICE_E,C,1","PRICE_F,C,1","PRICE_G,C,1","PRICE_H,C,1","PRICE_I,C,1","PRICE_J,C,1","DEP_B,C,1","DEP_C,C,1","CASE_B,C,1","CASE_C,C,1","CASE_D,C,1","CASE_E,C,1","CASE_F,C,1","CASE_G,C,1","CASE_H,C,1","CASE_I,C,1","CASE_J,C,1","USER1,C,1","USER2,C,1","DISC_OK,C,1","ORDER_LOT,C,1","DEP_ORD,C,1","DEP_ORDAMT,C,1","NOTES,C,1","NOTE2,C,1","DISCPOOL,C,1","BMP,C,1","HOCODE,C,1","POINTX,C,1","ITEMNOTE,C,1","USER1NAM,C,1","USER2NAM,C,1","VENDNAM,C,30","TYPENAM,C,30","TAXABLE3,C,22","TAXRATE3,C,9"
272,18200008344,,Budweiser,Lager Beer,60,12 OZ,3.7333,4.3,,,,7.99,,1,,,,,3,,,,,,,137,,,,2025-06-03,07/04/2025,0,0,0,0,0,0,0,0,0,0,0,0,49,0,56,,,N,,,,N,,,,23.99,1,N,,Y,,N,,,,127,S,92,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,KATCEF BROTHERS  INC,BEER,,
277,18200029929,,ODOULS N/A AMBER,12 OZ LN 4/6 PK,60,12 OZ,5.35,3.9875,,,,7.49,,,,,,,4,,,,,,,,,,,,12/17/2016,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,22.99,1,N,,Y,,N,,,,2021,S,42,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,,BEER,,
278,18200059896,,MICHELOB ULTRA,6PK BOTTLES,60,12 OZ,4.29,4.9,,,,8.99,,-5,,,,,3,,,,,2022-01-06,,284,,,,2025-06-03,07/08/2025,0,0,0,0,0,0,0,1,0,0,0,0,90,0,119,,,N,,,,N,,,,,1,N,,Y,,N,,,,3027,S,100,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,LEGACY PARTNERS  DISTRIBUTIONL,BEER,,
280,18200109867,,MICHELOB  AMBER BOCK,6PK BOTTLES,60,12 OZ,5.2125,5.2125,,,,6.99,,,,,,,4,,,,,,,,,,,,05/31/2021,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,28.2,1,N,,Y,,N,,,,4327,S,42,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,,BEER,,
281,18200112188,,Bud,Unknown,60,12 OZ,13.6674,13.7,,,,15.99,,24,,,,,1,,,,,2025-07-05,,1000,,,,2025-06-03,07/07/2025,0,0,0,0,0,0,0,0,0,0,0,1,389,0,360,,,N,,,,N,,,,,1,N,,Y,,N,,,,10335,S,92,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,KATCEF BROTHERS  INC,BEER,,
296,21296006019,,PAUL MASSON,BRANDY,28,.750L,9.5925,9.5925,,,,12.99,,10,,,,,12,,,,,2025-06-01,,290,,,,2025-01-27,07/06/2025,0,0,0,0,0,0,0,0,0,0,0,0,85,0,101,,,N,,,,N,,,,,1,N,,Y,,N,,,,9025853,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,BREAKTHRU BEVERAGE,BRANDY-AMERICAN,,
297,21296006033,,PAUL MASSON,BRANDY,28,.200L,2.6938,2.6938,,,,3.99,,21,,,,,24,,,,,2025-07-05,,557,,,,2024-12-26,07/09/2025,1,0,0,0,0,0,0,0,0,0,0,0,127,0,252,,,N,,,,N,,,,,1,N,,Y,,N,,,0,9025873,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,U,,,,,,,,,,,,BREAKTHRU BEVERAGE,BRANDY-AMERICAN,,
298,21296006064,,Paul Masson Grande Amber,Brandy VS,28,.375L,4.3542,4.3542,,,,6.99,,6,,,,,24,,,,,2025-07-05,,732,,,,2025-01-17,07/09/2025,0,0,0,0,0,0,0,0,0,0,2,2,170,2,307,,,N,,,,N,,,,,1,N,,Y,,N,,,0,9025851,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,U,,,,,,,,,,,,BREAKTHRU BEVERAGE,BRANDY-AMERICAN,,
299,21296600309,,PAUL MASSON,BRANDY,28,1.75L,17.065,16.9883,,,,22.99,,6,,,,,6,,,,,2025-03-06,,72,,,,2024-12-26,05/31/2025,0,0,0,0,0,0,0,0,0,0,0,0,15,0,37,,,N,,,,N,,,,,1,N,,Y,,N,,,,9025848,S,49,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,BREAKTHRU BEVERAGE,BRANDY-AMERICAN,,
303,21893789087,,LUNA DI LUNA,RED MERLOT/CAB '04,0,,0,0,,,,9.99,,,,,,,0,,,,,,,,,,,,08/19/2016,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,Y,,,,,,,,,1,,,N,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
